Time,Tracker_ID,Class_Name,Box_Coords,Center
2021-11-25 23:44:58.978015,1,person,"(162, 138, 638, 478)","(400, 308)"
2021-11-25 23:44:59.045893,1,person,"(162, 139, 638, 478)","(400, 308)"
2021-11-25 23:44:59.106052,1,person,"(161, 139, 637, 478)","(399, 309)"
2021-11-25 23:44:59.164226,1,person,"(160, 138, 638, 478)","(399, 308)"
2021-11-25 23:44:59.223894,1,person,"(161, 138, 638, 478)","(400, 308)"
2021-11-25 23:44:59.282551,1,person,"(161, 139, 637, 478)","(399, 309)"
2021-11-25 23:44:59.343933,1,person,"(145, 135, 629, 479)","(387, 307)"
2021-11-25 23:44:59.406757,1,person,"(156, 140, 632, 477)","(394, 309)"
2021-11-25 23:44:59.465201,1,person,"(160, 139, 637, 478)","(399, 309)"
2021-11-25 23:44:59.521070,1,person,"(160, 138, 639, 478)","(400, 308)"
2021-11-25 23:44:59.584880,1,person,"(160, 138, 639, 478)","(400, 308)"
2021-11-25 23:44:59.644721,1,person,"(161, 138, 639, 478)","(400, 308)"
2021-11-25 23:44:59.704250,1,person,"(161, 140, 638, 478)","(399, 309)"
2021-11-25 23:44:59.764089,1,person,"(161, 140, 639, 479)","(400, 309)"
2021-11-25 23:44:59.816947,1,person,"(158, 136, 641, 479)","(399, 308)"
2021-11-25 23:44:59.871023,1,person,"(143, 136, 628, 479)","(386, 308)"
2021-11-25 23:44:59.933854,1,person,"(154, 137, 637, 480)","(395, 308)"
2021-11-25 23:44:59.990358,1,person,"(157, 137, 639, 480)","(398, 308)"
2021-11-25 23:45:00.049197,1,person,"(157, 137, 639, 480)","(398, 308)"
2021-11-25 23:45:00.111033,1,person,"(161, 139, 639, 478)","(400, 309)"
2021-11-25 23:45:00.166490,1,person,"(162, 140, 639, 479)","(401, 310)"
2021-11-25 23:45:00.222890,1,person,"(161, 139, 640, 479)","(401, 309)"
2021-11-25 23:45:00.286886,1,person,"(161, 139, 640, 479)","(401, 309)"
2021-11-25 23:45:00.344766,1,person,"(159, 138, 640, 480)","(399, 309)"
2021-11-25 23:45:00.400302,1,person,"(162, 140, 637, 478)","(400, 309)"
2021-11-25 23:45:00.451203,1,person,"(159, 139, 639, 479)","(399, 309)"
2021-11-25 23:45:00.507054,1,person,"(158, 138, 640, 479)","(399, 309)"
2021-11-25 23:45:00.562957,1,person,"(160, 139, 638, 478)","(399, 309)"
2021-11-25 23:45:00.618668,1,person,"(160, 139, 639, 478)","(400, 309)"
2021-11-25 23:45:00.676174,1,person,"(161, 139, 638, 478)","(400, 308)"
2021-11-25 23:45:00.731991,1,person,"(160, 139, 639, 478)","(399, 308)"
2021-11-25 23:45:00.795929,1,person,"(160, 139, 639, 478)","(399, 308)"
2021-11-25 23:45:00.859978,1,person,"(159, 138, 640, 479)","(400, 308)"
2021-11-25 23:45:00.914869,1,person,"(159, 138, 641, 479)","(400, 308)"
2021-11-25 23:45:00.972273,1,person,"(160, 139, 640, 479)","(400, 309)"
2021-11-25 23:45:01.033089,1,person,"(160, 139, 639, 479)","(400, 309)"
2021-11-25 23:45:01.097915,1,person,"(161, 140, 639, 479)","(400, 310)"
2021-11-25 23:45:01.155761,1,person,"(159, 138, 639, 479)","(399, 309)"
2021-11-25 23:45:01.214132,1,person,"(160, 139, 639, 479)","(400, 309)"
2021-11-25 23:45:01.278960,1,person,"(159, 139, 639, 479)","(399, 309)"
2021-11-25 23:45:01.340867,1,person,"(159, 138, 640, 479)","(400, 309)"
2021-11-25 23:45:01.404701,1,person,"(161, 139, 639, 478)","(400, 309)"
2021-11-25 23:45:01.463722,1,person,"(160, 139, 640, 478)","(400, 308)"
2021-11-25 23:45:01.528072,1,person,"(160, 138, 640, 478)","(400, 308)"
2021-11-25 23:45:01.590905,1,person,"(159, 138, 641, 479)","(400, 308)"
2021-11-25 23:45:01.650180,1,person,"(160, 139, 640, 479)","(400, 309)"
2021-11-25 23:45:01.713237,1,person,"(159, 137, 640, 479)","(399, 308)"
2021-11-25 23:45:01.775072,1,person,"(159, 137, 641, 479)","(400, 308)"
2021-11-25 23:45:01.834912,1,person,"(159, 138, 639, 479)","(399, 308)"
2021-11-25 23:45:01.893757,1,person,"(162, 140, 639, 479)","(401, 309)"
2021-11-25 23:45:01.957120,1,person,"(162, 139, 638, 477)","(400, 308)"
2021-11-25 23:45:02.015964,1,person,"(159, 137, 640, 478)","(400, 308)"
2021-11-25 23:45:02.076077,1,person,"(158, 135, 642, 479)","(400, 307)"
2021-11-25 23:45:02.134919,1,person,"(158, 135, 641, 479)","(400, 307)"
2021-11-25 23:45:02.196719,1,person,"(160, 136, 642, 479)","(401, 308)"
2021-11-25 23:45:02.259268,1,person,"(159, 136, 642, 480)","(400, 308)"
2021-11-25 23:45:02.317120,1,person,"(158, 135, 641, 480)","(399, 307)"
2021-11-25 23:45:02.381768,1,person,"(139, 132, 628, 480)","(384, 306)"
2021-11-25 23:45:02.444979,1,person,"(122, 128, 622, 480)","(372, 304)"
2021-11-25 23:45:02.499834,1,person,"(123, 130, 622, 480)","(372, 305)"
2021-11-25 23:45:02.572821,1,person,"(124, 128, 626, 480)","(375, 304)"
2021-11-25 23:45:02.634291,1,person,"(120, 126, 626, 480)","(373, 303)"
2021-11-25 23:45:02.692137,1,person,"(114, 125, 625, 480)","(370, 302)"
2021-11-25 23:45:02.750123,1,person,"(109, 124, 625, 480)","(367, 302)"
2021-11-25 23:45:02.807964,1,person,"(107, 125, 624, 480)","(366, 302)"
2021-11-25 23:45:02.868041,1,person,"(108, 127, 625, 480)","(366, 303)"
2021-11-25 23:45:02.925918,1,person,"(106, 125, 627, 480)","(367, 302)"
